資産コード,枝番,移動日,事由コード,事由,部門コード（移動後）,設置場所コード（移動後）,参照リンク
SSKM000100051,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100052,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100053,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100054,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100055,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100056,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100057,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100058,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100059,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100060,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
