資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100163,001,6,15,structure corporate tax 164,detail corporate tax 164
SSKM000100164,001,5,14,structure corporate tax 165,detail corporate tax 165
SSKM000100165,001,4,13,structure corporate tax 166,detail corporate tax 166
SSKM000100166,001,3,12,structure corporate tax 167,detail corporate tax 167
SSKM000100167,001,2,11,structure corporate tax 168,detail corporate tax 168
SSKM000100168,001,1,10,structure corporate tax 169,detail corporate tax 169
SSKM000100169,001,99,99,structure corporate tax 170,detail corporate tax 170
SSKM000100170,001,6,60,structure corporate tax 171,detail corporate tax 171
SSKM000100171,001,5,50,structure corporate tax 172,detail corporate tax 172
SSKM000100172,001,4,40,structure corporate tax 173,detail corporate tax 173
SSKM000100173,001,3,30,structure corporate tax 174,detail corporate tax 174
SSKM000100174,001,2,20,structure corporate tax 175,detail corporate tax 175
SSKM000100175,001,1,17,structure corporate tax 176,detail corporate tax 176
SSKM000100176,001,99,16,structure corporate tax 177,detail corporate tax 177
SSKM000100177,001,6,15,structure corporate tax 178,detail corporate tax 178
SSKM000100178,001,5,14,structure corporate tax 179,detail corporate tax 179
SSKM000100179,001,4,13,structure corporate tax 180,detail corporate tax 180
SSKM000100180,001,3,12,structure corporate tax 181,detail corporate tax 181
SSKM000100181,001,2,11,structure corporate tax 182,detail corporate tax 182
SSKM000100182,001,1,10,structure corporate tax 183,detail corporate tax 183
SSKM000100183,001,99,99,structure corporate tax 184,detail corporate tax 184
SSKM000100184,001,6,60,structure corporate tax 185,detail corporate tax 185
SSKM000100185,001,5,50,structure corporate tax 186,detail corporate tax 186
SSKM000100186,001,4,40,structure corporate tax 187,detail corporate tax 187
SSKM000100187,001,3,30,structure corporate tax 188,detail corporate tax 188
SSKM000100188,001,2,20,structure corporate tax 189,detail corporate tax 189
SSKM000100189,001,1,17,structure corporate tax 190,detail corporate tax 190
SSKM000100190,001,99,16,structure corporate tax 191,detail corporate tax 191
SSKM000100191,001,6,15,structure corporate tax 192,detail corporate tax 192
SSKM000100192,001,5,14,structure corporate tax 193,detail corporate tax 193
SSKM000100193,001,4,13,structure corporate tax 194,detail corporate tax 194
SSKM000100194,001,3,12,structure corporate tax 195,detail corporate tax 195
SSKM000100195,001,2,11,structure corporate tax 196,detail corporate tax 196
SSKM000100196,001,1,10,structure corporate tax 197,detail corporate tax 197
SSKM000100197,001,99,99,structure corporate tax 198,detail corporate tax 198
SSKM000100198,001,6,60,structure corporate tax 199,detail corporate tax 199
SSKM000100199,001,5,50,structure corporate tax 200,detail corporate tax 200
SSKM000100200,001,4,40,structure corporate tax 201,detail corporate tax 201
SSKM000100201,001,3,30,structure corporate tax 202,detail corporate tax 202
SSKM000100202,001,2,20,structure corporate tax 203,detail corporate tax 203
SSKM000100203,001,1,17,structure corporate tax 204,detail corporate tax 204
SSKM000100204,001,99,16,structure corporate tax 205,detail corporate tax 205
SSKM000100205,001,6,15,structure corporate tax 206,detail corporate tax 206
SSKM000100206,001,5,14,structure corporate tax 207,detail corporate tax 207
SSKM000100207,001,4,13,structure corporate tax 208,detail corporate tax 208
SSKM000100208,001,3,12,structure corporate tax 209,detail corporate tax 209
SSKM000100209,001,2,11,structure corporate tax 210,detail corporate tax 210
SSKM000100210,001,1,10,structure corporate tax 211,detail corporate tax 211
SSKM000100211,001,99,99,structure corporate tax 212,detail corporate tax 212
SSKM000100212,001,6,60,structure corporate tax 213,detail corporate tax 213
SSKM000100213,001,5,50,structure corporate tax 214,detail corporate tax 214
SSKM000100214,001,4,40,structure corporate tax 215,detail corporate tax 215
SSKM000100215,001,3,30,structure corporate tax 216,detail corporate tax 216
SSKM000100216,001,2,20,structure corporate tax 217,detail corporate tax 217
SSKM000100217,001,1,17,structure corporate tax 218,detail corporate tax 218
SSKM000100218,001,99,16,structure corporate tax 219,detail corporate tax 219
SSKM000100219,001,6,15,structure corporate tax 220,detail corporate tax 220
SSKM000100220,001,5,14,structure corporate tax 221,detail corporate tax 221
SSKM000100221,001,4,13,structure corporate tax 222,detail corporate tax 222
SSKM000100222,001,3,12,structure corporate tax 223,detail corporate tax 223
SSKM000100223,001,2,11,structure corporate tax 224,detail corporate tax 224
SSKM000100224,001,1,10,structure corporate tax 225,detail corporate tax 225
SSKM000100225,001,99,99,structure corporate tax 226,detail corporate tax 226
SSKM000100226,001,6,60,structure corporate tax 227,detail corporate tax 227
SSKM000100227,001,5,50,structure corporate tax 228,detail corporate tax 228
SSKM000100228,001,4,40,structure corporate tax 229,detail corporate tax 229
SSKM000100229,001,3,30,structure corporate tax 230,detail corporate tax 230
SSKM000100230,001,2,20,structure corporate tax 231,detail corporate tax 231
SSKM000100231,001,1,17,structure corporate tax 232,detail corporate tax 232
SSKM000100232,001,99,16,structure corporate tax 233,detail corporate tax 233
SSKM000100233,001,6,15,structure corporate tax 234,detail corporate tax 234
SSKM000100234,001,5,14,structure corporate tax 235,detail corporate tax 235
SSKM000100235,001,4,13,structure corporate tax 236,detail corporate tax 236
SSKM000100236,001,3,12,structure corporate tax 237,detail corporate tax 237
SSKM000100237,001,2,11,structure corporate tax 238,detail corporate tax 238
SSKM000100238,001,1,10,structure corporate tax 239,detail corporate tax 239
SSKM000100239,001,99,99,structure corporate tax 240,detail corporate tax 240
SSKM000100240,001,6,60,structure corporate tax 241,detail corporate tax 241
SSKM000100241,001,5,50,structure corporate tax 242,detail corporate tax 242
SSKM000100242,001,4,40,structure corporate tax 243,detail corporate tax 243
SSKM000100243,001,3,30,structure corporate tax 244,detail corporate tax 244
SSKM000100244,001,2,20,structure corporate tax 245,detail corporate tax 245
SSKM000100245,001,1,17,structure corporate tax 246,detail corporate tax 246
SSKM000100246,001,99,16,structure corporate tax 247,detail corporate tax 247
SSKM000100247,001,6,15,structure corporate tax 248,detail corporate tax 248
SSKM000100248,001,5,14,structure corporate tax 249,detail corporate tax 249
SSKM000100249,001,4,13,structure corporate tax 250,detail corporate tax 250
SSKM000100250,001,3,12,structure corporate tax 251,detail corporate tax 251
SSKM000100251,001,2,11,structure corporate tax 252,detail corporate tax 252
SSKM000100252,001,1,10,structure corporate tax 253,detail corporate tax 253
SSKM000100253,001,99,99,structure corporate tax 254,detail corporate tax 254
SSKM000100254,001,6,60,structure corporate tax 255,detail corporate tax 255
SSKM000100255,001,5,50,structure corporate tax 256,detail corporate tax 256
SSKM000100256,001,4,40,structure corporate tax 257,detail corporate tax 257
SSKM000100257,001,3,30,structure corporate tax 258,detail corporate tax 258
SSKM000100258,001,2,20,structure corporate tax 259,detail corporate tax 259
SSKM000100259,001,1,17,structure corporate tax 260,detail corporate tax 260
SSKM000100260,001,99,16,structure corporate tax 261,detail corporate tax 261
SSKM000100261,001,6,15,structure corporate tax 262,detail corporate tax 262
SSKM000100262,001,5,14,structure corporate tax 263,detail corporate tax 263
SSKM000100263,001,4,13,structure corporate tax 264,detail corporate tax 264
SSKM000100264,001,3,12,structure corporate tax 265,detail corporate tax 265
SSKM000100265,001,2,11,structure corporate tax 266,detail corporate tax 266
SSKM000100266,001,1,10,structure corporate tax 267,detail corporate tax 267
SSKM000100267,001,99,99,structure corporate tax 268,detail corporate tax 268
SSKM000100268,001,6,60,structure corporate tax 269,detail corporate tax 269
SSKM000100269,001,5,50,structure corporate tax 270,detail corporate tax 270
SSKM000100270,001,4,40,structure corporate tax 271,detail corporate tax 271
SSKM000100271,001,3,30,structure corporate tax 272,detail corporate tax 272
SSKM000100272,001,2,20,structure corporate tax 273,detail corporate tax 273
SSKM000100273,001,1,17,structure corporate tax 274,detail corporate tax 274
SSKM000100274,001,99,16,structure corporate tax 275,detail corporate tax 275
SSKM000100275,001,6,15,structure corporate tax 276,detail corporate tax 276
SSKM000100276,001,5,14,structure corporate tax 277,detail corporate tax 277
SSKM000100277,001,4,13,structure corporate tax 278,detail corporate tax 278
SSKM000100278,001,3,12,structure corporate tax 279,detail corporate tax 279
SSKM000100279,001,2,11,structure corporate tax 280,detail corporate tax 280
SSKM000100280,001,1,10,structure corporate tax 281,detail corporate tax 281
SSKM000100281,001,99,99,structure corporate tax 282,detail corporate tax 282
SSKM000100282,001,6,60,structure corporate tax 283,detail corporate tax 283
SSKM000100283,001,5,50,structure corporate tax 284,detail corporate tax 284
SSKM000100284,001,4,40,structure corporate tax 285,detail corporate tax 285
SSKM000100285,001,3,30,structure corporate tax 286,detail corporate tax 286
SSKM000100286,001,2,20,structure corporate tax 287,detail corporate tax 287
SSKM000100287,001,1,17,structure corporate tax 288,detail corporate tax 288
SSKM000100288,001,99,16,structure corporate tax 289,detail corporate tax 289
SSKM000100289,001,6,15,structure corporate tax 290,detail corporate tax 290
SSKM000100290,001,5,14,structure corporate tax 291,detail corporate tax 291
SSKM000100291,001,4,13,structure corporate tax 292,detail corporate tax 292
SSKM000100292,001,3,12,structure corporate tax 293,detail corporate tax 293
SSKM000100293,001,2,11,structure corporate tax 294,detail corporate tax 294
SSKM000100294,001,1,10,structure corporate tax 295,detail corporate tax 295
SSKM000100295,001,99,99,structure corporate tax 296,detail corporate tax 296
SSKM000100296,001,6,60,structure corporate tax 297,detail corporate tax 297
SSKM000100297,001,5,50,structure corporate tax 298,detail corporate tax 298
SSKM000100298,001,4,40,structure corporate tax 299,detail corporate tax 299
SSKM000100299,001,3,30,structure corporate tax 300,detail corporate tax 300
SSKM000100300,001,2,20,structure corporate tax 301,detail corporate tax 301
