資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100074,001,4,13,structure corporate tax 74,detail corporate tax 74
SSKM000100075,001,5,14,structure corporate tax 75,detail corporate tax 75
SSKM000100076,001,6,15,structure corporate tax 76,detail corporate tax 76
SSKM000100077,001,99,16,structure corporate tax 77,detail corporate tax 77
SSKM000100078,001,1,17,structure corporate tax 78,detail corporate tax 78
SSKM000100079,001,2,20,structure corporate tax 79,detail corporate tax 79
SSKM000100080,001,3,30,structure corporate tax 80,detail corporate tax 80
SSKM000100081,001,4,40,structure corporate tax 81,detail corporate tax 81
SSKM000100082,001,5,50,structure corporate tax 82,detail corporate tax 82
SSKM000100083,001,6,60,structure corporate tax 83,detail corporate tax 83
SSKM000100084,001,99,99,structure corporate tax 84,detail corporate tax 84
SSKM000100085,001,1,10,structure corporate tax 85,detail corporate tax 85
SSKM000100086,001,2,11,structure corporate tax 86,detail corporate tax 86
SSKM000100087,001,3,12,structure corporate tax 87,detail corporate tax 87
SSKM000100088,001,4,13,structure corporate tax 88,detail corporate tax 88
SSKM000100089,001,5,14,structure corporate tax 89,detail corporate tax 89
SSKM000100090,001,6,15,structure corporate tax 90,detail corporate tax 90
SSKM000100091,001,99,16,structure corporate tax 91,detail corporate tax 91
SSKM000100092,001,1,17,structure corporate tax 92,detail corporate tax 92
SSKM000100093,001,2,20,structure corporate tax 93,detail corporate tax 93
SSKM000100094,001,3,30,structure corporate tax 94,detail corporate tax 94
SSKM000100095,001,4,40,structure corporate tax 95,detail corporate tax 95
SSKM000100096,001,5,50,structure corporate tax 96,detail corporate tax 96
SSKM000100097,001,6,60,structure corporate tax 97,detail corporate tax 97
SSKM000100098,001,1,99,structure corporate tax 98,detail corporate tax 98
SSKM000100099,001,2,10,structure corporate tax 99,detail corporate tax 99
SSKM000100100,001,99,11,structure corporate tax 100,detail corporate tax 100
