資産コード,枝番,資産名,資産カナ名,取得日,事業供用開始日,移行日,取得価額,税区分ID,税区分,税額,取得方法区分,取得方法区分名,資産科目コード,資産科目名,部門コード,部門名,設置場所コード,設置場所名,数量,単位,購入先名,リンク,償却方法_1,償却方法名_1,耐用年数_1,備忘価額_1,改定取得価額_1,期首簿価_1,移行時の帳簿価額_1,減損累計額_1,繰越超過額_1,償却済月数_1,総償却月数_1,残存価額_1,償却方法_2,償却方法名_2,耐用年数_2,備忘価額_2,改定取得価額_2,期首簿価_2,移行時の帳簿価額_2,減損累計額_2,繰越超過額_2,償却済月数_2,総償却月数_2,残存価額_2,償却方法_3,償却方法名_3,耐用年数_3,備忘価額_3,改定取得価額_3,期首簿価_3,移行時の帳簿価額_3,減損累計額_3,繰越超過額_3,償却済月数_3,総償却月数_3,残存価額_3,資産種類（償却資産税）,資産種類名（償却資産税）,特例対象フラグ,特例（分子）,特例（分母）,摘要（償却資産税）,資産種類（法人税）,資産種類名（法人税）,構造,細目,タグ,メモ,コメント
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100107,99,対象外,,1,新品,SSKM0643,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,13,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100108,99,対象外,,1,新品,SSKM0642,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,14,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100109,99,対象外,,1,新品,SSKM0641,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,15,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100110,99,対象外,,1,新品,SSKM0640,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,16,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100111,99,対象外,,1,新品,SSKM0639,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,17,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100112,99,対象外,,1,新品,SSKM0638,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,20,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100113,99,対象外,,1,新品,SSKM0637,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,30,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100114,99,対象外,,1,新品,SSKM0636,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,40,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100115,99,対象外,,1,新品,SSKM0635,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,50,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100116,99,対象外,,1,新品,SSKM0634,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,60,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100117,99,対象外,,1,新品,SSKM0646,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,10,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100118,99,対象外,,1,新品,SSKM0645,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,11,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100119,99,対象外,,1,新品,SSKM0644,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,12,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100120,99,対象外,,1,新品,SSKM0643,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,13,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100121,99,対象外,,1,新品,SSKM0642,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,14,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100122,99,対象外,,1,新品,SSKM0641,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,15,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,100123,99,対象外,,1,新品,SSKM0640,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,16,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0639,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,17,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0638,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,20,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,50000,99,対象外,,1,新品,SSKM0637,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,30,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0636,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,40,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0635,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,50,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0634,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,60,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0646,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,10,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0645,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,11,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0644,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,12,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0643,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,13,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0642,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,14,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0641,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,15,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0640,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,16,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0639,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,17,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0638,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,20,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0637,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,30,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0636,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,40,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0635,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,50,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0634,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,60,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0646,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,10,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0645,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,11,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0644,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,12,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0643,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,13,,,,,,
101,1,D80-test-001,パソコン,2018/02/01,2018/02/01,,200000,99,対象外,,1,新品,SSKM0642,,,,STBS0003,,1,個,,,80,少額減価償却資産,3,,,,,,,,,,80,少額減価償却資産,3,,,,,,,,,,,,,,,,,,,,,,1,構築物,1,5,9,,14,,,,,,
