資産コード,枝番,除却日,事由コード,事由,処分費用,処分費用の税区分ID,処分費用の税区分,処分費用の消費税額（手入力）,処分費用支払先,除売却時の償却費計上区分,参照リンク
SSKM000100035,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100036,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100037,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100038,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100039,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100040,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100041,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100042,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100043,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100044,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100045,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100046,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100047,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100048,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100049,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100050,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100051,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100052,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100053,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100054,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100055,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100056,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100057,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100058,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100059,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100060,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100061,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100062,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100063,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100064,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100065,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100066,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100067,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100068,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100069,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100070,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100071,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100072,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100073,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100074,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100075,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100076,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100077,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100078,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100079,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100080,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100081,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100082,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100083,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100084,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100085,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100086,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100087,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100088,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100089,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100090,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100091,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100092,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100093,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100094,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100095,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100096,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100097,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100098,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100099,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100100,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100101,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100102,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100103,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100104,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100105,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100106,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100107,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100108,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100109,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100110,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100111,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100112,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100113,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100114,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100115,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100116,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100117,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100118,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100119,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100120,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100121,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100122,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100123,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100124,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100125,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100126,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100127,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100128,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100129,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100130,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100131,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100132,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100133,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100134,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100135,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100136,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100137,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100138,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100139,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100140,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100141,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100142,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100143,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100144,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100145,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100146,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100147,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100148,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100149,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100150,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100151,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100152,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100153,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100154,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100155,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100156,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100157,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100158,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100159,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100160,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100161,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100162,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100163,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100164,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100165,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100166,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100167,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100168,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100169,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100170,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100171,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100172,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100173,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100174,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100175,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100176,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100177,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100178,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100179,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100180,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100181,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100182,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100183,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100184,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100185,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100186,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100187,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100188,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100189,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100190,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100191,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100192,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100193,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100194,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100195,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100196,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100197,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100198,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100199,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100200,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
